date,score,city,comment,nick
2018-07-31,5,九江,很好看，很叫人深思,幸运符号259
2018-07-31,5,江津,66666是6666,Yqh633119424
2018-07-31,5,上饶,不错的电影，开心麻花必属精品，非常期待下部电影,pgc538106011
2018-07-31,4.5,隆回,沈叔叔的电影其余的不说，看的开心完全没问题,老舔盖儿不喝酸奶
2018-07-31,5,丰都,国产喜剧大师,布鲁斯机车V6哥
2018-07-31,5,中山,好看的一部电影,阿杜6500
2018-07-31,2.5,赣州,没什么内涵，不知所云,明媚的忧伤579
2018-07-31,5,遵化,挺好的  值得一看,di339850
2018-07-31,5,中山,很搞笑，钱多就是好,TPC803458493
2018-07-31,5,贵阳,笑点里面带着泪点,QMc大洋芋
2018-07-31,5,济南,很搞笑 支持沈腾,走过美好时光
2018-07-31,5,上海,笑点多，比一起其他好太多了,Rgl517837582
2018-07-31,5,凯里,超级搞笑，超级有意思,yopsilon
2018-07-31,5,建德,有沈腾不缺笑点，编剧厉害了,cvv428602947
2018-07-31,4.5,芜湖,炎热的夏天里添加喜庆，缓解工作🀄️的压力,陈桂龙2011
2018-07-31,5,宜良县,真的真的真的真的很好看,heu642635614
2018-07-31,5,南阳,超级好看的额,AGA825939672
2018-07-31,5,东莞,搞笑中带了些许的人间真情👍👍,音你.而美丽
2018-07-31,5,合肥,笑点不断，雅俗共享,EPA744252507
2018-07-31,5,化州,挺搞笑的，很值得去看!,vLT482450584
2018-07-31,4.5,辽中,国产良心大电影,阿哲482
2018-07-31,5,铁岭,这个片子必须五星好评，太好了演的是我看过的喜剧最好的一部,HKv714268141
2018-07-31,5,莱州,回到家还是开心的，嘴角还是上扬的，很棒！,gqC735586780
2018-07-31,3.5,本溪,好评连连不断,小徐的店
2018-07-31,5,玉林,"支持开心麻花！
故事性强点就更棒了！
中间煽情部分与感情线稍微僵硬！",怀瑾君
2018-07-31,4.5,合肥,沈腾是可以独撑电影的喜剧效果的艺人，功底很深厚，还有一个强大的团队。电影挺好看的，点赞！,ylo570383517
2018-07-31,4,晋江市,挺好看的，就是电影院的小孩特别吵,ncU425677085
2018-07-31,4.5,广州,嗯，不错，有搞笑也有感悟,GZQ655180943
2018-07-31,4.5,丰城,全场笑点不停,水深不语914
2018-07-31,5,武汉,符合现在人的心理，好笑,万志华
2018-07-31,5,高邮,非常的不错，值得一看,Wfh493360338
2018-07-31,5,遵义,值得一看的好电影!!,xgv667998412
